covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
conflict_index,0.6387706733344026,1.894150917224912,0.23594006931756592,0.17633663496208957,1.1012047117067156,1.192839542564307,3.0077873588186765,0.0,2.7073429078069937,0.006782416130989278,7.203984981912256
bonding_index,-0.5462959519657876,0.5790908229502805,0.25779386961243456,-1.0515626518413739,-0.04102925209020125,0.34939134527380955,0.9598010533501635,0.0,-2.1191192513114645,0.0340803901587627,4.874914337870301
satisfaction_index,-0.31618274355855447,0.728926231422107,0.13120642572170996,-0.5733426125133357,-0.0590228746037732,0.5636382620987184,0.9426852053599136,0.0,-2.4098114236354626,0.015960767846640404,5.969326130827663
age_diff_abs,0.038953510510516945,1.0397221463747897,0.04494955267230266,-0.04914599384838242,0.1270530148694163,0.9520421272580205,1.1354772133620334,0.0,0.8666050760171324,0.3861584313527826,1.3727352234753198
married,-0.5121453330161795,0.5992086967098692,0.24341362819895992,-0.9892272776323643,-0.03506338839999473,0.37186392760526443,0.965544210015107,0.0,-2.104012568259183,0.03537735068663118,4.821030177200583
cohabiting,-0.1761408190657198,0.8384998982506756,0.29190320510075574,-0.7482605880350096,0.3959789499035701,0.47318890777446604,1.48583804018817,0.0,-0.6034220110907024,0.5462279830372181,0.8724248702112755
has_children,-0.25729326448925555,0.7731414455843854,0.29810762903018023,-0.8415734809050359,0.32698695192652477,0.4310317693073266,1.386783382210785,0.0,-0.8630884936634994,0.38808881378087745,1.3655412452101139
n_children,-0.06544317177689506,0.9366522735315941,0.11357215595596,-0.28804050709714285,0.1571541635433527,0.749731222188496,1.170175998474465,0.0,-0.5762254949379673,0.5644627747708376,0.8250496537018916
shared_activities_per_month,-0.14784127302416677,0.8625680168895133,0.04318384306181562,-0.2324800501393553,-0.06320249590897827,0.7925655607615489,0.9387533607261477,0.0,-3.423532102331398,0.0006181295032294824,10.659803253241824
education_avg_ord,-0.1777997068948044,0.8371100740747063,0.14250494570695632,-0.45710426809927457,0.10150485430966577,0.6331143229940003,1.1068352913001478,0.0,-1.2476739387026423,0.21215048899351166,2.2368400909337014
monthly_income_keur,-0.23218197232795137,0.7928018421826697,0.16087353388924877,-0.5474883048165629,0.08312436016066008,0.5784007538413688,1.08667693946439,0.0,-1.4432577361531322,0.14894788069218973,2.7471204985682633
