couple_id,bonding_index,conflict_index,divorced_reference,age_partner_a,age_partner_b,age_diff_abs,education_a,education_b,monthly_income_eur,married,cohabiting,has_children,n_children,shared_activities_per_month,education_a_ord,education_b_ord,education_avg_ord,satisfaction_index,time_years,event
C0001,0.7,1.3529411764705883,1,36.4,34.1,2.3,Abitur,Abitur,2223.0,1,1,1,2,5,3,3,3.0,5.23,15.0,0
C0002,3.2,2.2058823529411766,1,25.7,27.2,1.6,Abitur,Abitur,2672.0,1,1,1,1,4,3,3,3.0,7.75,15.0,0
C0003,2.35,1.9411764705882353,1,40.0,38.4,1.6,Hochschule,Hochschule,3348.0,0,1,0,0,2,4,4,4.0,6.52,12.15,1
C0004,3.05,2.1176470588235294,1,41.5,37.2,4.3,Hochschule,Abitur,2813.0,0,1,0,0,5,4,3,3.5,5.82,15.0,0
C0005,0.85,1.088235294117647,1,18.4,18.0,4.5,Abitur,Abitur,2704.0,1,1,0,0,6,3,3,3.0,4.85,9.41,1
C0006,0.65,1.1176470588235294,1,23.6,24.2,0.6,Abitur,Abitur,3756.0,1,1,1,5,8,3,3,3.0,5.55,15.0,0
C0007,2.55,2.4411764705882355,1,35.0,40.5,5.5,Hochschule,Realschule,4202.0,1,1,1,1,4,4,2,3.0,7.27,13.5,1
C0008,2.25,1.9705882352941178,1,31.5,32.0,0.6,Hauptschule,Realschule,1948.0,0,0,1,1,7,1,2,1.5,7.73,12.81,1
C0009,2.45,1.6470588235294117,1,33.9,33.5,0.4,Hauptschule,Hauptschule,3043.0,0,1,0,0,6,1,1,1.0,7.47,15.0,0
C0010,1.15,1.3529411764705883,1,27.2,28.2,1.0,Hauptschule,Hauptschule,1921.0,0,0,1,3,8,1,1,1.0,5.92,15.0,0
C0011,3.45,3.9411764705882355,1,41.0,45.6,4.6,Abitur,Abitur,3952.0,1,1,0,0,3,3,3,3.0,6.46,6.89,1
C0012,3.45,3.9411764705882355,1,40.2,41.0,0.8,Realschule,Realschule,2344.0,1,1,1,5,5,2,2,2.0,5.19,7.51,1
C0013,3.2,3.8529411764705883,1,34.5,33.1,1.4,Hochschule,Hochschule,3879.0,0,0,0,0,7,4,4,4.0,5.46,10.42,1
C0014,3.2,3.8529411764705883,1,43.0,46.9,3.9,Abitur,Abitur,3119.0,1,1,1,2,4,3,3,3.0,4.86,10.27,1
C0015,3.2,3.823529411764706,1,37.7,39.2,1.5,Realschule,Realschule,4307.0,0,0,1,1,9,2,2,2.0,4.5,5.17,1
C0016,3.15,3.823529411764706,1,27.1,32.5,5.4,Hochschule,Abitur,3861.0,0,1,0,0,5,4,3,3.5,5.88,4.21,1
C0017,3.15,3.823529411764706,1,37.0,37.6,0.6,Hochschule,Hochschule,3376.0,0,1,0,0,3,4,4,4.0,5.74,13.69,1
C0018,3.45,3.6176470588235294,1,26.3,22.0,4.3,Realschule,Realschule,2981.0,0,0,1,4,2,2,2,2.0,6.69,6.8,1
C0019,3.1,3.823529411764706,1,41.0,36.2,4.8,Realschule,Hochschule,2883.0,1,1,0,0,5,2,4,3.0,6.01,2.0,1
C0020,3.45,3.6176470588235294,1,33.6,39.4,5.8,Realschule,Hochschule,2806.0,1,1,1,2,1,2,4,3.0,6.29,15.0,0
C0021,3.05,3.7941176470588234,1,32.5,38.6,6.0,Realschule,Realschule,2945.0,0,1,1,1,11,2,2,2.0,6.0,3.41,1
C0022,3.05,3.7941176470588234,1,28.6,27.9,0.6,Hauptschule,Hauptschule,1919.0,1,1,1,2,7,1,1,1.0,5.46,15.0,0
C0023,3.35,3.5588235294117645,1,43.8,42.4,1.3,Hochschule,Hochschule,3967.0,1,1,0,0,6,4,4,4.0,6.39,15.0,0
C0024,2.95,3.764705882352941,1,32.8,37.9,5.1,Realschule,Realschule,2408.0,1,1,0,0,3,2,2,2.0,4.76,4.52,1
C0025,2.95,3.764705882352941,1,30.6,26.7,3.9,Realschule,Abitur,2852.0,1,1,0,0,7,2,3,2.5,5.75,15.0,0
C0026,2.95,3.764705882352941,1,31.2,28.1,3.1,Hochschule,Hochschule,4055.0,0,0,1,3,5,4,4,4.0,6.02,1.79,1
C0027,2.95,3.735294117647059,1,38.3,40.5,2.3,Abitur,Abitur,1738.0,1,1,0,0,9,3,3,3.0,4.84,8.82,1
