couple_id,bonding_index,conflict_index,divorced_reference,age_partner_a,age_partner_b,age_diff_abs,education,monthly_income_eur,married,cohabiting,has_children,n_children,shared_activities_per_month,time_years,event
C0001,0.7,1.3529411764705883,1,36.4,34.1,2.3,Abitur,1998.0,0,1,0,0,8,1.71,1
C0002,3.2,2.2058823529411766,1,25.7,27.2,1.6,Abitur,1121.0,0,0,1,1,6,15.0,0
C0003,2.35,1.9411764705882353,1,40.0,38.4,1.6,Hochschule,3474.0,0,1,1,1,7,9.64,1
C0004,3.05,2.1176470588235294,1,41.5,37.2,4.3,Hochschule,5252.0,1,1,1,1,6,15.0,0
C0005,0.85,1.088235294117647,1,18.4,18.0,4.5,Abitur,3161.0,0,1,0,0,4,0.93,1
C0006,0.65,1.1176470588235294,1,23.6,24.2,0.6,Abitur,2564.0,1,1,0,0,6,0.94,1
C0007,2.55,2.4411764705882355,1,35.0,40.5,5.5,Hochschule,4079.0,1,1,0,0,12,9.39,1
C0008,2.25,1.9705882352941178,1,31.5,32.0,0.6,Hauptschule,963.0,1,1,1,2,5,13.98,1
C0009,2.45,1.6470588235294117,1,33.9,33.5,0.4,Hauptschule,1722.0,1,1,1,1,12,15.0,0
C0010,1.15,1.3529411764705883,1,27.2,28.2,1.0,Hauptschule,1960.0,1,1,0,0,7,5.31,1
C0011,3.45,3.9411764705882355,1,41.0,45.6,4.6,Abitur,2848.0,1,1,1,1,9,5.75,1
C0012,3.45,3.9411764705882355,1,40.2,41.0,0.8,Realschule,2874.0,1,1,0,0,4,11.68,1
C0013,3.2,3.8529411764705883,1,34.5,33.1,1.4,Hochschule,4007.0,1,1,0,0,5,8.54,1
C0014,3.2,3.8529411764705883,1,43.0,46.9,3.9,Abitur,3301.0,1,1,0,0,8,8.46,1
C0015,3.2,3.823529411764706,1,37.7,39.2,1.5,Realschule,1987.0,1,1,0,0,5,2.46,1
C0016,3.15,3.823529411764706,1,27.1,32.5,5.4,Hochschule,4339.0,0,0,1,1,8,4.84,1
C0017,3.15,3.823529411764706,1,37.0,37.6,0.6,Hochschule,4777.0,1,1,1,2,6,9.02,1
C0018,3.45,3.6176470588235294,1,26.3,22.0,4.3,Realschule,1818.0,0,0,0,0,2,2.37,1
C0019,3.1,3.823529411764706,1,41.0,36.2,4.8,Realschule,1867.0,1,1,1,1,6,10.48,1
C0020,3.45,3.6176470588235294,1,33.6,39.4,5.8,Realschule,3201.0,1,1,1,1,8,13.55,1
C0021,3.05,3.7941176470588234,1,32.5,38.6,6.0,Realschule,2285.0,1,1,1,2,5,15.0,0
C0022,3.05,3.7941176470588234,1,28.6,27.9,0.6,Hauptschule,2742.0,1,1,1,1,5,4.17,1
C0023,3.35,3.5588235294117645,1,43.8,42.4,1.3,Hochschule,3534.0,0,0,0,0,8,9.48,1
C0024,2.95,3.764705882352941,1,32.8,37.9,5.1,Realschule,3273.0,1,1,1,1,6,8.53,1
C0025,2.95,3.764705882352941,1,30.6,26.7,3.9,Realschule,2479.0,0,1,0,0,8,8.29,1
C0026,2.95,3.764705882352941,1,31.2,28.1,3.1,Hochschule,3955.0,0,1,1,1,7,13.14,1
C0027,2.95,3.735294117647059,1,38.3,40.5,2.3,Abitur,3839.0,0,0,0,0,7,4.99,1
C0028,2.95,3.735294117647059,1,36.9,35.5,1.4,Hochschule,3583.0,0,0,1,4,1,8.07,1
C0029,2.9,3.735294117647059,1,37.3,37.3,0.0,Hochschule,3235.0,1,1,0,0,5,15.0,0
C0030,2.9,3.735294117647059,1,37.4,36.9,0.6,Abitur,2631.0,1,1,0,0,7,4.02,1
C0031,2.9,3.735294117647059,1,51.1,52.3,1.2,Realschule,2671.0,0,1,1,1,8,10.03,1
C0032,3.2,3.5294117647058822,1,30.7,35.7,4.9,Hochschule,2861.0,0,0,1,2,11,12.38,1
C0033,3.2,3.5294117647058822,1,29.9,30.2,0.3,Hochschule,4182.0,0,0,0,0,10,12.62,1
C0034,2.9,3.7058823529411766,1,27.5,29.7,2.3,Hochschule,3477.0,1,1,1,4,4,3.3,1
C0035,3.2,3.5294117647058822,1,38.9,31.8,7.2,Hauptschule,2589.0,0,1,1,2,5,6.86,1
C0036,2.8,3.7058823529411766,1,43.0,42.9,0.2,Hochschule,2363.0,1,1,0,0,4,3.14,1
C0037,3.05,3.5294117647058822,1,33.1,30.1,3.0,Abitur,2428.0,0,1,1,1,2,0.83,1
C0038,2.85,3.588235294117647,1,27.3,23.0,4.3,Hauptschule,888.0,0,0,1,1,5,2.93,1
C0039,2.85,3.588235294117647,1,27.4,24.3,3.1,Abitur,2404.0,1,1,1,1,3,7.24,1
C0040,3.05,3.4705882352941178,1,39.2,38.0,1.2,Abitur,3049.0,1,1,0,0,8,5.57,1
C0041,2.7,3.6470588235294117,1,39.9,43.2,3.2,Hauptschule,1792.0,0,1,0,0,4,3.65,1
C0042,2.65,3.6470588235294117,1,38.3,33.7,4.6,Abitur,2748.0,0,1,1,4,3,4.69,1
C0043,3.05,3.411764705882353,1,28.7,28.8,0.1,Hochschule,3704.0,1,1,1,3,8,15.0,0
C0044,2.65,3.6470588235294117,1,35.9,34.2,1.7,Realschule,2522.0,0,1,1,1,3,6.69,1
C0045,2.65,3.6470588235294117,1,34.9,33.8,1.1,Abitur,2295.0,1,1,1,1,5,15.0,0
C0046,2.65,3.6470588235294117,1,35.7,39.3,3.5,Realschule,2824.0,1,1,1,2,8,10.83,1
C0047,2.65,3.6470588235294117,1,41.0,42.9,1.9,Realschule,2798.0,0,0,1,3,7,14.8,1
C0048,2.65,3.6470588235294117,1,35.8,40.5,4.7,Hochschule,4031.0,1,1,1,1,8,11.57,1
C0049,2.65,3.6470588235294117,1,39.4,38.9,0.5,Hochschule,4134.0,1,1,1,3,8,11.47,1
C0050,2.65,3.6470588235294117,1,34.5,32.1,2.4,Hauptschule,2078.0,1,1,1,1,6,1.5,1
C0051,2.65,3.6470588235294117,1,36.3,35.5,0.8,Hochschule,5021.0,0,0,0,0,5,15.0,0
C0052,2.65,3.6176470588235294,1,39.1,39.9,0.8,Hochschule,3748.0,0,1,1,3,9,7.44,1
C0053,2.9,3.411764705882353,1,22.3,23.0,0.6,Realschule,2216.0,0,1,0,0,3,4.93,1
C0054,2.95,3.3823529411764706,1,31.4,27.6,3.8,Hochschule,3348.0,1,1,0,0,5,15.0,0
C0055,2.9,3.3823529411764706,1,30.2,30.6,0.3,Hauptschule,1281.0,1,1,1,1,4,13.33,1
C0056,2.9,3.3529411764705883,1,28.9,29.7,0.8,Hochschule,3053.0,0,0,0,0,2,10.32,1
C0057,3.2,3.1470588235294117,1,31.8,40.6,8.8,Abitur,2367.0,0,0,0,0,5,6.87,1
C0058,3.2,3.1470588235294117,1,46.0,52.5,6.6,Abitur,2858.0,1,1,1,1,6,14.42,1
C0059,2.8,3.3823529411764706,1,27.1,24.1,3.0,Hauptschule,2101.0,0,1,1,2,8,9.04,1
C0060,2.4,3.5588235294117645,1,41.7,40.7,1.0,Hochschule,3831.0,1,1,0,0,4,6.05,1
C0061,2.4,3.5588235294117645,1,20.5,18.0,5.1,Hauptschule,1441.0,1,1,0,0,7,15.0,0
C0062,2.4,3.5588235294117645,1,31.3,29.3,2.1,Realschule,2940.0,0,0,0,0,6,9.29,1
C0063,2.4,3.5588235294117645,1,35.3,36.4,1.1,Hauptschule,2344.0,0,1,1,2,8,15.0,0
C0064,2.4,3.5588235294117645,1,38.7,42.9,4.2,Hochschule,3704.0,0,1,1,1,3,3.94,1
C0065,3.1,3.1176470588235294,1,39.7,37.1,2.6,Realschule,2008.0,1,1,0,0,5,10.77,1
C0066,2.65,3.323529411764706,1,40.3,38.1,2.3,Hochschule,4129.0,0,0,1,1,7,7.97,1
C0067,2.65,3.323529411764706,1,31.2,23.7,7.5,Abitur,3013.0,0,1,0,0,4,5.74,1
C0068,2.65,3.323529411764706,1,30.3,29.7,0.6,Hauptschule,1031.0,0,0,0,0,9,15.0,0
C0069,2.65,3.2941176470588234,1,40.9,37.1,3.7,Hauptschule,1859.0,0,1,1,4,5,0.93,1
